Mutation_Size,Median_Fitness,Best_Fitness,Avg_Comp_Time,Avg_Unchanged
1.0,65.0,42,0.07934702500278942,13.7
2.0,62.0,40,0.0824737500013725,13.4
3.0,61.5,45,0.10399180500098733,14.75
4.0,56.5,34,0.12672410500163092,18.3
5.0,53.0,41,0.1387728549983876,16.05
10.0,50.0,32,0.19199536499654637,13.0
25.0,40.5,18,0.5806730949996564,10.4
50.0,34.5,19,0.8784151900013967,1.6
100.0,47.5,30,1.149009314999421,0.5
200.0,33.5,20,0.9301638150005601,2.2
300.0,64.5,48,0.06883251000181187,13.6
400.0,64.5,42,0.07302790500034456,14.45
